"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Kerala","Idukki","Nedumkandam","Coffee","Other","14/10/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","18/11/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","19/11/2018","12500","12500","12500"
"Kerala","Idukki","Nedumkandam","Coffee","Other","03/12/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","07/12/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","08/12/2018","12500","12500","12500"
"Kerala","Idukki","Nedumkandam","Coffee","Other","09/12/2018","12500","12500","12500"
"Kerala","Idukki","Nedumkandam","Coffee","Other","10/12/2018","12500","12500","12500"
"Kerala","Idukki","Nedumkandam","Coffee","Other","12/12/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","16/12/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","17/12/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","19/12/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","21/12/2018","12000","12500","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","23/12/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","24/12/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","28/12/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","30/12/2018","12000","12000","12000"
"Kerala","Idukki","Thodupuzha","Coffee","Other","01/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","03/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","04/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","05/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","06/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","08/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","09/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","10/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","11/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","12/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","16/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","17/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","18/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","19/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","20/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","22/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","23/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","25/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","27/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","29/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","30/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","31/01/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","02/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","03/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","05/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","06/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","07/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","08/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","09/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","12/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","14/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","15/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","16/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","17/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","19/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","20/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","21/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","22/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","23/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","24/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","26/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","27/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","28/02/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","01/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","02/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","03/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","05/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","06/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","07/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","08/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","09/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","12/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","13/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","14/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","15/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","16/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","17/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","19/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","20/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","21/03/2018","7400","7600","7600"
"Kerala","Idukki","Thodupuzha","Coffee","Other","22/03/2018","7400","7600","7600"
